"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
2023,"AR","Arkansas","Polk","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence",44.8,"","",40.4,49,"19,436","15,141",5113,"HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure","POINT (-94.2282210393227 34.4858592435429)"
2022,"AK","Alaska","Northwest Arctic","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Age-adjusted prevalence",30.4,"","",25.4,35.5,"7,361","4,551",2188,"HLTHOUT","TEETHLOST","AgeAdjPrv","All Teeth Lost","POINT (-159.722233405755 67.0527933404638)"
2023,"AL","Alabama","Jackson","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence",26.8,"","",22.5,31.1,"53,467","42,355",1071,"HLTHSTAT","GHLTH","CrdPrv","General Health","POINT (-85.9995052603961 34.7796392771775)"
2023,"AR","Arkansas","Van Buren","BRFSS","Disability","Cognitive disability among adults","%","Age-adjusted prevalence",21.4,"","",18.4,24.6,"16,142","13,054",5141,"DISABLT","COGNITION","AgeAdjPrv","Cognitive Disability","POINT (-92.5158922653774 35.5806118772188)"
2023,"AR","Arkansas","Cleveland","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence",20,"","",17.2,23,"7,378","5,798",5025,"DISABLT","MOBILITY","CrdPrv","Mobility Disability","POINT (-92.1849717548295 33.8983818787189)"
2023,"AR","Arkansas","Calhoun","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence",27.6,"","",23.2,32.1,"4,641","3,792",5013,"SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support","POINT (-92.5029413111612 33.5580587155721)"
2023,"CA","California","Inyo","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence",2.8,"","",2.5,3.2,"18,527","14,859",6027,"HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-117.411112581295 36.5114226868129)"
2023,"AL","Alabama","Walker","BRFSS","Health-Related Social Needs","Loneliness among adults","%","Crude prevalence",35.2,"","",30.2,40.7,"64,728","49,914",1127,"SOCLNEED","LONELINESS","CrdPrv","Loneliness","POINT (-87.2978092396997 33.8031253577516)"
2023,"AR","Arkansas","Izard","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence",18.8,"","",16.2,21.2,"14,169","11,629",5065,"HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress","POINT (-91.9133749044468 36.0947862703415)"
2023,"AL","Alabama","Lauderdale","BRFSS","Health Outcomes","Depression among adults","%","Age-adjusted prevalence",25.2,"","",21.5,29.4,"96,814","78,262",1077,"HLTHOUT","DEPRESSION","AgeAdjPrv","Depression","POINT (-87.6540983850983 34.9014438477101)"
2023,"AK","Alaska","Copper River","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Age-adjusted prevalence",10.6,"","",8.4,13,"2,674","1,994",2066,"SOCLNEED","FOODSTAMP","AgeAdjPrv","Food Stamps","POINT (-143.967989524598 61.8833837156363)"
2022,"AZ","Arizona","Mohave","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence",53.1,"","",49.7,56.5,"223,682","187,847",4015,"PREVENT","DENTAL","CrdPrv","Dental Visit","POINT (-113.758099268811 35.7044739765542)"
2023,"AL","Alabama","DeKalb","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Age-adjusted prevalence",7.2,"","",6.5,8,"72,569","55,297",1049,"HLTHOUT","CANCER","AgeAdjPrv","Cancer (non-skin) or Melanoma","POINT (-85.8039693236418 34.4598606858773)"
2023,"AR","Arkansas","Pope","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Age-adjusted prevalence",10.6,"","",8.9,12.5,"64,593","49,630",5115,"SOCLNEED","SHUTUTILITY","AgeAdjPrv","Utility Services Threat","POINT (-93.034485700416 35.4480772563332)"
2023,"AR","Arkansas","Sharp","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence",23,"","",19.4,26.4,"17,968","14,333",5135,"DISABLT","MOBILITY","CrdPrv","Mobility Disability","POINT (-91.4796648363714 36.1612525766705)"
2023,"AL","Alabama","Lamar","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Age-adjusted prevalence",30,"","",24.7,35.8,"13,661","10,648",1075,"RISKBEH","LPA","AgeAdjPrv","Physical Inactivity","POINT (-88.0969548281156 33.7791463830423)"
